# config mode routing selection
mesh_8x8_buf4 wired XY RANDOM
mesh_8x8_buf4 wired WEST_FIRST RANDOM
mesh_8x8_buf4 wired NORTH_LAST BUFFER_LEVEL
mesh_8x8_buf4 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_8x8_buf4 wired ODD_EVEN NOP
mesh_8x8_buf4 wired DYAD NOP
mesh_8x8_buf4 wired TABLE_BASED RANDOM
mesh_8x8_buf4 wireless XY RANDOM
mesh_8x8_buf4 wireless ODD_EVEN BUFFER_LEVEL
mesh_8x8_buf8 wired XY RANDOM
mesh_8x8_buf8 wired WEST_FIRST RANDOM
mesh_8x8_buf8 wired NORTH_LAST BUFFER_LEVEL
mesh_8x8_buf8 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_8x8_buf8 wired ODD_EVEN NOP
mesh_8x8_buf8 wired DYAD NOP
mesh_8x8_buf8 wired TABLE_BASED RANDOM
mesh_8x8_buf8 wireless XY RANDOM
mesh_8x8_buf8 wireless ODD_EVEN BUFFER_LEVEL
mesh_16x16_buf4 wired XY RANDOM
mesh_16x16_buf4 wired WEST_FIRST RANDOM
mesh_16x16_buf4 wired NORTH_LAST BUFFER_LEVEL
mesh_16x16_buf4 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_16x16_buf4 wired ODD_EVEN NOP
mesh_16x16_buf4 wired DYAD NOP
mesh_16x16_buf4 wired TABLE_BASED RANDOM
mesh_16x16_buf4 wireless XY RANDOM
mesh_16x16_buf4 wireless ODD_EVEN BUFFER_LEVEL
mesh_16x16_buf8 wired XY RANDOM
mesh_16x16_buf8 wired WEST_FIRST RANDOM
mesh_16x16_buf8 wired NORTH_LAST BUFFER_LEVEL
mesh_16x16_buf8 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_16x16_buf8 wired ODD_EVEN NOP
mesh_16x16_buf8 wired DYAD NOP
mesh_16x16_buf8 wired TABLE_BASED RANDOM
mesh_16x16_buf8 wireless XY RANDOM
mesh_16x16_buf8 wireless ODD_EVEN BUFFER_LEVEL
